
    pProfilerData(IndexIdentifiers,i_ProfilerLineNumber,IndexProfilerTypes) := data 
      ( prStartupLaunchMode                                                                      ,  58, 'net time'   ) : 4.100e-06,
      ( prStartupLaunchMode                                                                      ,  60, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  60, 'gross time' ) : 4.500e-06,
      ( prStartupLaunchMode                                                                      ,  60, 'net time'   ) : 4.500e-06,
      ( prStartupLaunchMode                                                                      ,  72, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  72, 'gross time' ) : 6.570e-05,
      ( prStartupLaunchMode                                                                      ,  72, 'net time'   ) : 6.000e-07,
      ( prStartupLaunchMode                                                                      ,  74, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  74, 'gross time' ) : 6.510e-05,
      ( prStartupLaunchMode                                                                      ,  74, 'net time'   ) : 2.900e-06,
      ( prStartupLaunchMode                                                                      ,  75, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  75, 'gross time' ) : 5.200e-06,
      ( prStartupLaunchMode                                                                      ,  75, 'net time'   ) : 5.200e-06,
      ( prStartupLaunchMode                                                                      ,  76, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  76, 'gross time' ) : 3.070e-05,
      ( prStartupLaunchMode                                                                      ,  76, 'net time'   ) : 3.070e-05,
      ( prStartupLaunchMode                                                                      ,  77, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  77, 'gross time' ) : 5.700e-06,
      ( prStartupLaunchMode                                                                      ,  77, 'net time'   ) : 5.700e-06,
      ( prStartupLaunchMode                                                                      ,  78, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  78, 'gross time' ) : 2.060e-05,
      ( prStartupLaunchMode                                                                      ,  78, 'net time'   ) : 2.060e-05,
      ( prStartupLaunchMode                                                                      ,  95, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  95, 'gross time' ) : 3.400e-06,
      ( prStartupLaunchMode                                                                      ,  95, 'net time'   ) : 5.000e-07,
      ( prStartupLaunchMode                                                                      ,  97, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      ,  97, 'gross time' ) : 2.900e-06,
      ( prStartupLaunchMode                                                                      ,  97, 'net time'   ) : 2.900e-06,
      ( prStartupLaunchMode                                                                      , 106, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      , 106, 'gross time' ) : 6.080e-03,
      ( prStartupLaunchMode                                                                      , 106, 'net time'   ) : 1.530e-05,
      ( prStartupLaunchMode                                                                      , 110, hits         ) : 1.000e+00,
      ( prStartupLaunchMode                                                                      , 110, 'gross time' ) : 6.545e-03,
      ( prStartupLaunchMode                                                                      , 110, 'net time'   ) : 1.310e-05,
      ( prStartupCore                                                                            ,   0, hits         ) : 1.000e+00,
      ( prStartupCore                                                                            ,   0, 'gross time' ) : 2.313e+00,
      ( prStartupCore                                                                            ,   0, 'net time'   ) : 2.530e-04,
      ( prStartupCore                                                                            ,   1, hits         ) : 1.000e+00,
      ( prStartupCore                                                                            ,   1, 'gross time' ) : 7.499e-03,
      ( prStartupCore                                                                            ,   1, 'net time'   ) : 1.280e-05,
